,target
7608,0
13461,1
2918,0
5222,0
21642,1
17237,1
13963,1
5866,0
4286,0
12037,1
15428,1
19234,1
8214,0
14491,1
848,0
5049,0
9406,0
4571,0
12023,1
9849,0
22310,1
380,0
13062,1
11449,0
17339,1
19027,1
7703,0
22438,1
19605,1
8211,0
135,0
12769,1
14332,1
6543,0
8310,0
14770,1
16236,1
8229,0
17704,1
22729,1
4745,0
17759,1
16135,1
15624,1
18521,1
8409,0
8564,0
2584,0
13202,1
16242,1
2087,0
13213,1
18948,1
3039,0
22012,1
13599,1
3997,0
15992,1
14164,1
7745,0
11961,1
20555,1
15595,1
3288,0
13027,1
12308,1
425,0
17837,1
18757,1
19831,1
22843,1
5268,0
14810,1
8300,0
11355,0
4693,0
12998,1
15225,1
21328,1
6810,0
2531,0
17460,1
21747,1
12358,1
19273,1
9400,0
11289,0
7015,0
18013,1
4111,0
11247,0
12405,1
19553,1
3214,0
29,0
5360,0
1833,0
15611,1
3658,0
21118,1
17166,1
5235,0
17349,1
11420,0
20886,1
21462,1
2197,0
12858,1
6964,0
19347,1
10668,0
1687,0
3162,0
2339,0
12169,1
11057,0
653,0
9010,0
13138,1
7662,0
11848,1
3234,0
12918,1
22123,1
2726,0
1113,0
8506,0
16321,1
18958,1
5026,0
373,0
2099,0
15731,1
2993,0
17913,1
18758,1
9236,0
16614,1
1275,0
17619,1
15527,1
8913,0
4304,0
18443,1
11149,0
16468,1
12725,1
2132,0
11297,0
18376,1
17542,1
20572,1
21730,1
12256,1
16822,1
22561,1
18833,1
7427,0
17267,1
21380,1
862,0
11013,0
10125,0
16738,1
15477,1
1720,0
17104,1
21927,1
14103,1
21512,1
18527,1
15953,1
638,0
4273,0
4132,0
4622,0
22851,1
566,0
22302,1
12846,1
9845,0
9936,0
11048,0
15866,1
14992,1
15416,1
4464,0
1305,0
5381,0
16466,1
5458,0
13649,1
4303,0
13505,1
11304,0
20344,1
21444,1
8760,0
6329,0
12477,1
17808,1
6947,0
18561,1
17210,1
19893,1
11214,0
11693,1
11352,0
11626,1
20704,1
1643,0
1795,0
18746,1
15980,1
14811,1
21950,1
20915,1
1057,0
1964,0
7687,0
2629,0
10977,0
17864,1
12729,1
4816,0
18168,1
12403,1
14068,1
20493,1
16942,1
21932,1
19588,1
445,0
22907,1
9558,0
4800,0
9740,0
9704,0
4126,0
2543,0
4623,0
3884,0
11817,1
2275,0
16844,1
19664,1
420,0
284,0
21289,1
998,0
22444,1
20174,1
3181,0
5020,0
20949,1
19547,1
8497,0
7361,0
21890,1
19369,1
9231,0
6422,0
16025,1
3834,0
21232,1
12637,1
4768,0
5685,0
3245,0
4281,0
7199,0
17547,1
4533,0
21266,1
8443,0
19064,1
22513,1
9040,0
7530,0
16950,1
7040,0
11306,0
20511,1
12230,1
3661,0
14463,1
160,0
5426,0
8345,0
22702,1
2379,0
13274,1
23074,1
682,0
111,0
5652,0
21293,1
5816,0
150,0
7324,0
23214,1
8157,0
9061,0
3411,0
18401,1
11307,0
3977,0
19861,1
19317,1
7393,0
22079,1
14326,1
12519,1
18933,1
14304,1
7911,0
18647,1
16765,1
4315,0
12890,1
11024,0
10425,0
12335,1
9000,0
2661,0
20393,1
5702,0
8565,0
7020,0
19487,1
17499,1
9535,0
3788,0
18391,1
9085,0
13664,1
1276,0
7387,0
8413,0
6259,0
8482,0
9052,0
17693,1
11974,1
16864,1
17064,1
5942,0
8618,0
20942,1
116,0
18262,1
12927,1
23017,1
19916,1
21789,1
6687,0
1112,0
13487,1
6427,0
7334,0
12783,1
10718,0
14931,1
6220,0
16841,1
18703,1
15122,1
21320,1
13064,1
3651,0
10500,0
1255,0
7411,0
3684,0
16213,1
10495,0
17511,1
22043,1
22216,1
23001,1
2481,0
17463,1
14740,1
22940,1
6903,0
20336,1
9999,0
7532,0
21069,1
18085,1
20222,1
829,0
17716,1
1602,0
16686,1
8187,0
20427,1
3058,0
17430,1
2778,0
23159,1
8028,0
13344,1
18321,1
7599,0
8679,0
11573,0
11339,0
17050,1
22608,1
19031,1
7121,0
11472,0
11794,1
13856,1
16995,1
10648,0
12680,1
18754,1
20759,1
7068,0
21358,1
20370,1
10069,0
17049,1
15869,1
13020,1
19692,1
22493,1
1921,0
14921,1
14524,1
7738,0
12830,1
19779,1
9234,0
84,0
17485,1
12033,1
15473,1
3851,0
21059,1
3938,0
9530,0
14461,1
10354,0
12211,1
9684,0
18218,1
19690,1
2240,0
3496,0
22366,1
3607,0
7397,0
19766,1
22090,1
19899,1
6153,0
21045,1
1320,0
19281,1
12923,1
9224,0
5380,0
5817,0
12281,1
14104,1
6115,0
16041,1
21749,1
168,0
1553,0
9854,0
1143,0
15531,1
20515,1
551,0
9946,0
17635,1
20782,1
4950,0
18068,1
12585,1
398,0
22634,1
18986,1
13301,1
149,0
3069,0
12054,1
10279,0
94,0
7625,0
12554,1
16317,1
914,0
1601,0
16711,1
8971,0
21115,1
22163,1
16802,1
1496,0
7395,0
7484,0
22160,1
9932,0
8223,0
11259,0
19235,1
4885,0
5905,0
2441,0
17603,1
18999,1
10826,0
7873,0
12844,1
15494,1
20826,1
8144,0
21589,1
3746,0
16421,1
12961,1
12302,1
15888,1
1675,0
17507,1
16545,1
4900,0
21152,1
1929,0
4901,0
18560,1
11251,0
16805,1
17729,1
17365,1
7284,0
5568,0
1967,0
18098,1
13174,1
8268,0
1634,0
20256,1
14014,1
6933,0
7402,0
15828,1
14467,1
8278,0
17991,1
3318,0
15005,1
12622,1
1479,0
622,0
6246,0
926,0
1498,0
17467,1
11400,0
10870,0
13153,1
22150,1
18036,1
19491,1
19836,1
17324,1
21997,1
1840,0
22961,1
6848,0
22378,1
15782,1
18993,1
1332,0
22586,1
5149,0
17084,1
22405,1
19180,1
2688,0
1714,0
15793,1
16778,1
2059,0
8309,0
13741,1
12247,1
4455,0
19771,1
5625,0
3855,0
10480,0
8122,0
7518,0
4113,0
18876,1
6049,0
14180,1
18281,1
4785,0
2715,0
15068,1
16397,1
316,0
1923,0
7580,0
21582,1
8573,0
22432,1
15838,1
7845,0
14155,1
14790,1
16813,1
22078,1
2818,0
8729,0
950,0
17296,1
16400,1
8657,0
12621,1
18795,1
13908,1
8304,0
17288,1
6385,0
1639,0
5200,0
19685,1
18003,1
6451,0
9295,0
12333,1
15904,1
18965,1
11143,0
17925,1
7316,0
1965,0
17697,1
20200,1
20252,1
2025,0
11832,1
4963,0
4127,0
20719,1
7681,0
2928,0
12709,1
19951,1
6954,0
18347,1
11255,0
10499,0
7026,0
11015,0
6707,0
22588,1
1593,0
4383,0
7527,0
700,0
21305,1
22081,1
11325,0
4029,0
764,0
13260,1
9165,0
4342,0
758,0
9229,0
15371,1
18029,1
17580,1
38,0
3613,0
5274,0
11121,0
7203,0
2894,0
5046,0
14224,1
17188,1
16584,1
10331,0
15536,1
15831,1
15062,1
7572,0
6301,0
2807,0
21242,1
8698,0
10952,0
17020,1
15201,1
22105,1
15252,1
252,0
13227,1
5082,0
511,0
17967,1
10479,0
13291,1
3333,0
20978,1
9326,0
9345,0
21669,1
750,0
14190,1
14903,1
2348,0
6074,0
21557,1
22479,1
12815,1
12509,1
6940,0
16836,1
11607,0
17954,1
19854,1
19022,1
2390,0
21904,1
8922,0
17796,1
14480,1
5297,0
14733,1
662,0
17194,1
6817,0
8626,0
3467,0
8764,0
13170,1
8318,0
5468,0
3781,0
17852,1
429,0
7680,0
17282,1
14464,1
8590,0
4881,0
12841,1
5143,0
22670,1
12893,1
1226,0
16067,1
12137,1
16623,1
903,0
7588,0
8323,0
17142,1
2493,0
85,0
15535,1
2991,0
13657,1
21134,1
3079,0
21761,1
6389,0
11622,1
3016,0
17031,1
11011,0
4988,0
1653,0
15875,1
1532,0
9886,0
17378,1
10608,0
343,0
8191,0
15098,1
23032,1
1982,0
19601,1
3685,0
10133,0
6926,0
22849,1
22682,1
9501,0
753,0
15443,1
4063,0
7983,0
14819,1
11973,1
22802,1
8665,0
22698,1
12530,1
4244,0
2438,0
11558,0
2069,0
15355,1
5224,0
2175,0
5083,0
4105,0
8830,0
3550,0
4353,0
18220,1
20531,1
10735,0
14962,1
14395,1
6402,0
1354,0
7457,0
15260,1
7744,0
16927,1
16150,1
1099,0
17489,1
1083,0
3604,0
18596,1
15259,1
19749,1
991,0
1887,0
15817,1
14943,1
11913,1
6443,0
14363,1
11958,1
9332,0
22997,1
18167,1
20769,1
5489,0
9651,0
17604,1
8138,0
17816,1
19641,1
15095,1
7575,0
4051,0
5007,0
13311,1
19608,1
7789,0
15665,1
18334,1
19583,1
4750,0
813,0
10388,0
7883,0
9976,0
8432,0
22739,1
18008,1
17473,1
4468,0
3107,0
16190,1
2006,0
9138,0
16287,1
12540,1
8171,0
13640,1
5964,0
12457,1
18522,1
4385,0
19574,1
6670,0
12667,1
16176,1
21142,1
8857,0
18882,1
17002,1
17001,1
19857,1
5272,0
13552,1
19972,1
2574,0
6500,0
10226,0
5861,0
11862,1
22071,1
8843,0
18205,1
16810,1
15291,1
4,0
14281,1
11213,0
1865,0
4089,0
22705,1
11899,1
15133,1
15175,1
10933,0
11773,1
19038,1
20466,1
10888,0
1064,0
22891,1
11512,0
22893,1
16897,1
7333,0
6106,0
332,0
3989,0
14598,1
3692,0
6866,0
7462,0
15182,1
20338,1
7814,0
23009,1
16534,1
23078,1
6734,0
11465,0
18389,1
13978,1
18892,1
18865,1
4467,0
22208,1
5169,0
7726,0
7945,0
5631,0
15290,1
7414,0
8056,0
10044,0
1683,0
22941,1
15951,1
9430,0
578,0
12645,1
13825,1
15351,1
17795,1
13134,1
5723,0
12978,1
19239,1
7250,0
676,0
7538,0
23029,1
9517,0
782,0
10734,0
16946,1
183,0
3166,0
4061,0
2297,0
13476,1
8941,0
10004,0
2836,0
15661,1
17501,1
16570,1
15492,1
1955,0
15236,1
9419,0
7289,0
21398,1
7120,0
13214,1
533,0
18629,1
20388,1
21984,1
12795,1
2742,0
6141,0
3761,0
17487,1
4734,0
7443,0
12696,1
21386,1
9826,0
9188,0
23098,1
8045,0
5760,0
21460,1
8522,0
3992,0
8902,0
17661,1
13756,1
23196,1
1566,0
18285,1
12437,1
4514,0
21563,1
21429,1
12030,1
15873,1
16671,1
1544,0
15370,1
20623,1
12364,1
5667,0
3177,0
1281,0
8284,0
6175,0
2471,0
5587,0
15510,1
6373,0
22897,1
18775,1
6320,0
21056,1
12908,1
16164,1
3599,0
14110,1
17700,1
19020,1
4294,0
17927,1
10352,0
9376,0
13152,1
18206,1
21942,1
4039,0
22332,1
3914,0
21860,1
10121,0
10862,0
10897,0
2344,0
3076,0
20707,1
5605,0
18923,1
6323,0
11333,0
18798,1
9026,0
7895,0
17783,1
9863,0
18232,1
21539,1
7528,0
7200,0
17584,1
9898,0
22042,1
15280,1
157,0
18862,1
8380,0
3577,0
6209,0
5856,0
16020,1
22151,1
6114,0
20578,1
8143,0
23014,1
14994,1
4066,0
14925,1
3013,0
18530,1
14964,1
9199,0
12053,1
2569,0
20970,1
11828,1
5630,0
10126,0
16828,1
7245,0
12628,1
17391,1
11423,0
7881,0
13445,1
9299,0
16424,1
7696,0
9893,0
23004,1
8715,0
22557,1
2820,0
5834,0
10903,0
17623,1
2791,0
388,0
18981,1
23169,1
18551,1
12793,1
1326,0
6897,0
18350,1
11743,1
5894,0
19953,1
8957,0
1650,0
10664,0
5248,0
16139,1
11165,0
435,0
10030,0
11883,1
7430,0
6541,0
21600,1
6641,0
21112,1
2562,0
20001,1
21331,1
13142,1
19821,1
18549,1
11266,0
7321,0
11238,0
10180,0
8723,0
18022,1
15506,1
20702,1
6113,0
17244,1
18632,1
8383,0
16243,1
16603,1
19552,1
9902,0
5028,0
12736,1
9463,0
20353,1
12353,1
15375,1
5541,0
11740,1
16464,1
18568,1
16717,1
16318,1
13681,1
7327,0
17643,1
2996,0
16141,1
14815,1
23124,1
7981,0
5734,0
22601,1
8509,0
21228,1
10194,0
21528,1
20087,1
21560,1
1352,0
3902,0
19700,1
7061,0
15712,1
5805,0
16297,1
14471,1
4554,0
7810,0
6556,0
13217,1
18083,1
3371,0
10943,0
4367,0
8854,0
12862,1
21465,1
6831,0
7517,0
20728,1
17758,1
18760,1
11872,1
5761,0
548,0
11724,1
17464,1
17219,1
15170,1
3944,0
11429,0
4308,0
9392,0
5869,0
21176,1
19874,1
16238,1
18055,1
11464,0
448,0
15769,1
9729,0
13252,1
7535,0
20097,1
7365,0
9042,0
1127,0
19878,1
4407,0
1799,0
10549,0
18372,1
2387,0
21828,1
13094,1
5648,0
14351,1
6066,0
3512,0
7000,0
16868,1
17786,1
7816,0
17265,1
8131,0
5758,0
4288,0
6695,0
12382,1
19597,1
15690,1
20498,1
7802,0
20219,1
3260,0
10620,0
8273,0
18612,1
15773,1
2840,0
14462,1
2615,0
8369,0
8421,0
3560,0
15693,1
15013,1
4081,0
1511,0
10511,0
5858,0
5281,0
15874,1
11685,1
7215,0
11450,0
22107,1
19678,1
473,0
7021,0
1846,0
21924,1
15213,1
20586,1
18466,1
5825,0
16423,1
1851,0
7157,0
9109,0
1681,0
1452,0
17448,1
12813,1
17676,1
14690,1
12484,1
15580,1
10146,0
299,0
1107,0
850,0
8973,0
12068,1
10812,0
2246,0
9934,0
6383,0
6086,0
13346,1
22781,1
8,0
15616,1
5367,0
10430,0
4040,0
17659,1
7791,0
16628,1
15495,1
16682,1
21083,1
16636,1
12095,1
5101,0
18250,1
3097,0
12699,1
11581,0
11066,0
13694,1
22998,1
18790,1
20300,1
12074,1
3657,0
11833,1
17206,1
16664,1
19229,1
19624,1
13508,1
12950,1
16290,1
5973,0
18491,1
5632,0
19600,1
16730,1
16856,1
14640,1
5786,0
16782,1
15330,1
12689,1
9197,0
15763,1
12032,1
3087,0
11399,0
2478,0
5431,0
20654,1
13294,1
20446,1
10950,0
9572,0
8455,0
20636,1
15509,1
831,0
18812,1
13084,1
22969,1
6180,0
23036,1
1928,0
1370,0
3090,0
14639,1
20081,1
11285,0
22505,1
13447,1
10072,0
1916,0
19269,1
14339,1
18734,1
11438,0
10876,0
9801,0
8689,0
13083,1
3619,0
7425,0
5987,0
15418,1
8917,0
19950,1
7180,0
1976,0
2309,0
3549,0
1766,0
7150,0
12684,1
4907,0
12559,1
5164,0
16004,1
10491,0
4638,0
11055,0
8237,0
14748,1
1655,0
2861,0
8801,0
11076,0
3322,0
19172,1
5903,0
3861,0
8063,0
4812,0
2126,0
11299,0
2088,0
981,0
15018,1
14276,1
19066,1
5267,0
800,0
11291,0
21835,1
22308,1
3290,0
22785,1
18328,1
1516,0
8530,0
15798,1
14242,1
21513,1
13624,1
10022,0
2432,0
6856,0
9618,0
19788,1
11217,0
21516,1
6584,0
3217,0
7666,0
20170,1
22534,1
13133,1
21554,1
796,0
13768,1
20517,1
9254,0
12848,1
11709,1
5309,0
19753,1
3101,0
22222,1
8276,0
16248,1
6693,0
26,0
17192,1
12553,1
3099,0
12292,1
15559,1
16672,1
12307,1
5700,0
17462,1
9150,0
10182,0
22902,1
7596,0
9871,0
12451,1
12217,1
14152,1
5118,0
2231,0
20340,1
16265,1
1590,0
21093,1
6472,0
20600,1
10909,0
11020,0
1592,0
8637,0
1082,0
12387,1
3221,0
7852,0
16906,1
12052,1
3546,0
15026,1
6867,0
6512,0
10963,0
2713,0
11099,0
13670,1
16097,1
15466,1
11570,0
1904,0
5725,0
8260,0
18219,1
434,0
4856,0
22747,1
8986,0
2834,0
2203,0
3445,0
22590,1
21740,1
6962,0
15288,1
7506,0
4280,0
3767,0
20787,1
19807,1
19344,1
8753,0
10185,0
20676,1
18789,1
15135,1
12706,1
5378,0
11293,0
14500,1
7240,0
9577,0
932,0
8382,0
13701,1
3484,0
16342,1
12020,1
1368,0
7590,0
4204,0
1547,0
17537,1
16565,1
9722,0
12774,1
10926,0
15568,1
7479,0
8545,0
12259,1
8825,0
1935,0
4899,0
22294,1
3991,0
3447,0
12994,1
1185,0
11818,1
8970,0
3021,0
14872,1
18317,1
6211,0
4595,0
12261,1
11067,0
12573,1
15722,1
13745,1
9123,0
9601,0
5142,0
4993,0
13672,1
2291,0
1216,0
10990,0
3603,0
10080,0
14445,1
18838,1
15094,1
1659,0
20116,1
842,0
2977,0
7408,0
16360,1
2091,0
14625,1
6367,0
3063,0
17221,1
9191,0
791,0
23189,1
2633,0
3297,0
7155,0
5521,0
6004,0
9437,0
4100,0
16302,1
16104,1
21347,1
10404,0
14,0
4778,0
2792,0
9480,0
19279,1
21329,1
5922,0
17286,1
15425,1
20145,1
12402,1
21379,1
98,0
2606,0
12400,1
16688,1
21581,1
7038,0
21497,1
5,0
9640,0
19003,1
5012,0
15640,1
5413,0
8803,0
461,0
16728,1
10864,0
17533,1
18038,1
15239,1
1938,0
10853,0
9117,0
11412,0
4870,0
13812,1
22203,1
7975,0
9363,0
21024,1
20447,1
7704,0
17914,1
10915,0
5069,0
7222,0
20316,1
16435,1
14830,1
13656,1
18685,1
5465,0
7511,0
7664,0
9796,0
568,0
12430,1
15974,1
11503,0
10342,0
7181,0
14322,1
8046,0
12617,1
19419,1
2333,0
22595,1
9081,0
22127,1
2525,0
15757,1
13815,1
14805,1
6489,0
13631,1
4454,0
9653,0
16818,1
15726,1
11562,0
6733,0
13991,1
3892,0
2613,0
9238,0
12981,1
6935,0
1575,0
9512,0
7988,0
12943,1
1583,0
16812,1
1520,0
1617,0
20380,1
22502,1
9483,0
7621,0
14583,1
5058,0
9720,0
2318,0
405,0
219,0
4123,0
19371,1
16257,1
19571,1
8756,0
2037,0
7947,0
1022,0
7434,0
266,0
14366,1
8861,0
3827,0
13985,1
20076,1
1351,0
17681,1
4665,0
1263,0
15247,1
3584,0
5524,0
7913,0
7472,0
4723,0
10254,0
17718,1
18580,1
4762,0
14677,1
13561,1
20799,1
10329,0
3517,0
15584,1
3833,0
13827,1
4708,0
16756,1
3307,0
6291,0
18042,1
5440,0
9260,0
9391,0
12097,1
14370,1
19471,1
8950,0
17238,1
17344,1
14634,1
15017,1
16197,1
5088,0
10212,0
895,0
11719,1
1225,0
9598,0
6408,0
16228,1
4754,0
9835,0
6955,0
6110,0
6761,0
18331,1
10062,0
13592,1
17708,1
4860,0
15606,1
6266,0
17612,1
3796,0
3904,0
22351,1
16015,1
19142,1
22232,1
20918,1
12389,1
16777,1
14530,1
7702,0
18938,1
11201,0
18813,1
2788,0
6268,0
1180,0
12503,1
61,0
18461,1
5422,0
9728,0
1459,0
11342,0
5358,0
23085,1
17851,1
22850,1
9966,0
7336,0
452,0
10949,0
15903,1
1395,0
22759,1
3889,0
19179,1
596,0
5620,0
10468,0
10814,0
18014,1
5639,0
4849,0
3299,0
15219,1
10522,0
16612,1
3032,0
22412,1
2094,0
21999,1
20851,1
12970,1
3856,0
4459,0
6601,0
21743,1
19036,1
1829,0
18231,1
12186,1
12584,1
5838,0
1484,0
6088,0
6911,0
20267,1
18293,1
12140,1
3647,0
4929,0
21939,1
21350,1
7344,0
3831,0
19093,1
17907,1
16627,1
6690,0
7055,0
15852,1
13690,1
8660,0
27,0
18420,1
4147,0
805,0
17341,1
23219,1
18064,1
9335,0
13687,1
21079,1
10936,0
10010,0
15645,1
13022,1
985,0
19721,1
6583,0
19533,1
925,0
12929,1
1003,0
16411,1
8035,0
13069,1
18766,1
16145,1
13852,1
5349,0
11682,1
10132,0
18830,1
16997,1
2798,0
15687,1
21661,1
20341,1
16064,1
5595,0
2324,0
8645,0
15841,1
14229,1
5441,0
19415,1
9620,0
22750,1
7182,0
10993,0
5341,0
3730,0
11167,0
17411,1
14742,1
17255,1
14314,1
13630,1
8885,0
22442,1
4502,0
3980,0
16934,1
2163,0
9912,0
2896,0
6627,0
13805,1
17088,1
22173,1
17425,1
18044,1
1992,0
20993,1
3195,0
19751,1
8115,0
13470,1
12196,1
464,0
12681,1
4369,0
22474,1
4237,0
9239,0
10149,0
15130,1
12368,1
23028,1
22861,1
13504,1
794,0
22538,1
6886,0
21088,1
14773,1
17687,1
6661,0
10436,0
14556,1
11206,0
11278,0
3042,0
1043,0
11262,0
11092,0
20966,1
10982,0
7386,0
22741,1
1844,0
4278,0
3835,0
3460,0
17517,1
12986,1
5025,0
9593,0
7331,0
5271,0
275,0
17149,1
2692,0
6322,0
14760,1
14836,1
10843,0
3075,0
10747,0
7899,0
19417,1
10186,0
16472,1
10227,0
8746,0
21205,1
1886,0
8537,0
6829,0
11416,0
9536,0
22569,1
4176,0
2236,0
2853,0
7453,0
16798,1
18197,1
9023,0
12111,1
13542,1
2453,0
4314,0
21931,1
8076,0
8552,0
20185,1
8481,0
17342,1
15055,1
14786,1
8585,0
20,0
11202,0
21144,1
18448,1
5386,0
18114,1
7723,0
15484,1
10311,0
13620,1
5278,0
16945,1
5133,0
3055,0
863,0
871,0
18781,1
1508,0
20089,1
17040,1
11807,1
11313,0
18419,1
9851,0
4124,0
12340,1
2466,0
4216,0
23112,1
8877,0
7103,0
5375,0
20121,1
5613,0
20708,1
8866,0
1711,0
16656,1
13424,1
912,0
4789,0
21778,1
16269,1
2899,0
4035,0
18503,1
15445,1
10154,0
4257,0
12244,1
20575,1
18214,1
11752,1
1254,0
17807,1
19820,1
10684,0
2122,0
2673,0
14834,1
6118,0
9708,0
19082,1
3611,0
20496,1
11804,1
7066,0
337,0
21273,1
7890,0
12710,1
4004,0
18783,1
23155,1
20018,1
8915,0
11140,0
7771,0
7017,0
14263,1
7261,0
21733,1
23096,1
20912,1
1841,0
33,0
14227,1
10959,0
1076,0
8503,0
5399,0
12542,1
10153,0
18442,1
13583,1
5158,0
8271,0
15099,1
10119,0
19851,1
5886,0
16745,1
5270,0
1745,0
22210,1
17996,1
5280,0
9812,0
12287,1
1024,0
4718,0
14372,1
18720,1
21983,1
8632,0
14532,1
20501,1
3743,0
7471,0
10709,0
15132,1
21862,1
12325,1
6813,0
18786,1
6821,0
7440,0
16085,1
11117,0
21043,1
16366,1
2357,0
4664,0
16768,1
8376,0
15539,1
5707,0
